director,href,director_birthYr,director_cn
László Nemes,https://www.imdb.com//name/nm1841577/,1977-2-18,"Budapest, Hungary"
Tony Scott,https://www.imdb.com//name/nm0001716/,1944-6-21,"North Shields, Northumberland, England, UK"
Seth Rogen,https://www.imdb.com//name/nm0736622/,1982-4-15,"Vancouver, British Columbia, Canada"
Aleksey Fedorchenko,https://www.imdb.com//name/nm1922735/,1966-9-29,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]"
John Carney,https://www.imdb.com//name/nm0138809/,1972-0-0,"Dublin, Ireland"
Debra Granik,https://www.imdb.com//name/nm0335138/,1963-2-6,"Cambridge, Massachusetts, USA"
Ken Loach,https://www.imdb.com//name/nm0516360/,1936-6-17,"Nuneaton, Warwickshire, England, UK"
Christopher Morris,https://www.imdb.com//name/nm0606439/,1965-9-5,"Bristol, England, UK"
Janie Geiser,https://www.imdb.com//name/nm0312026/,1957-0-0,"Baton Rouge, Louisiana, USA"
Kathryn Bigelow,https://www.imdb.com//name/nm0000941/,1951-11-27,"San Carlos, California, USA"
Michel Hazanavicius,https://www.imdb.com//name/nm0371890/,1967-3-29,"Paris, France"
Whit Stillman,https://www.imdb.com//name/nm0001775/,1952-1-25,"Washington, District of Columbia, USA"
Robert Pulcini,https://www.imdb.com//name/nm0700301/,1964-8-24,"New York City, New York, USA"
Jane Campion,https://www.imdb.com//name/nm0001005/,1954-4-30,"Wellington, New Zealand"
Roman Polanski,https://www.imdb.com//name/nm0000591/,1933-8-18,"Paris, France"
Guy Davidi,https://www.imdb.com//name/nm1519079/,1978-7-9,"Jaffa, Tel Aviv, Israel"
Sidney Lumet,https://www.imdb.com//name/nm0001486/,1924-6-25,"Philadelphia, Pennsylvania, USA"
Stephen Daldry,https://www.imdb.com//name/nm0197636/,1960-5-2,"Dorset, England, UK"
Dibakar Banerjee,https://www.imdb.com//name/nm1962313/,1969-6-21,"New Delhi, India"
Phil Solomon,https://www.imdb.com//name/nm0813409/,1954-1-3,"Manhattan, New York City, New York, USA"
David Silverman,https://www.imdb.com//name/nm0798899/,1957-3-15,"New York City, New York, USA"
David Wain,https://www.imdb.com//name/nm0906476/,1969-8-1,"Shaker Heights, Ohio, USA"
Paolo Benvenuti,https://www.imdb.com//name/nm0073047/,1946-1-30,"Pisa, Tuscany, Italy"
Takeshi Kitano,https://www.imdb.com//name/nm0001429/,1947-1-18,"Tokyo, Japan"
Ari Folman,https://www.imdb.com//name/nm0284369/,1962-12-17,"Haifa, Israel"
Andrew Stanton,https://www.imdb.com//name/nm0004056/,1965-12-3,"Boston, Massachusetts, USA"
George Lucas,https://www.imdb.com//name/nm0000184/,1944-5-14,"Modesto, California, USA"
Tom Hooper,https://www.imdb.com//name/nm0393799/,1972-10-5,"London, England, UK"
Carlos Saura,https://www.imdb.com//name/nm0767022/,1932-1-4,"Huesca, Aragón, Spain"
Lucrecia Martel,https://www.imdb.com//name/nm0551506/,1966-12-14,"Salta, Argentina"
Mike Judge,https://www.imdb.com//name/nm0431918/,1962-10-17,"Guayaquil, Ecuador"
Xavier Beauvois,https://www.imdb.com//name/nm0064741/,1967-3-20,"Auchel, Pas-de-Calais, France"
Terry George,https://www.imdb.com//name/nm0313623/,1952-12-20,"Belfast, Northern Ireland, UK"
Mel Gibson,https://www.imdb.com//name/nm0000154/,1956-1-3,"Peekskill, New York, USA"
Avi Nesher,https://www.imdb.com//name/nm0383605/,1952-12-13,"Ramat Gan, Israel"
Alex Garland,https://www.imdb.com//name/nm0307497/,1970-5-26,"London, England, UK"
Asghar Farhadi,https://www.imdb.com//name/nm1410815/,1972-5-7,"Khomeyni Shahr, Isfahan, Iran"
Ryan Coogler,https://www.imdb.com//name/nm3363032/,1986-5-23,"Oakland, California, USA"
Leos Carax,https://www.imdb.com//name/nm0136021/,1960-11-22,"Suresnes, Seine [now Hauts-de-Seine], France"
Carol Morley,https://www.imdb.com//name/nm1345246/,1966-1-14,"Stockport, Greater Manchester, England, UK"
Ossama Mohammed,https://www.imdb.com//name/nm0611256/,1954-3-21,"Lattakia, Syria"
Ben Rivers,https://www.imdb.com//name/nm4234237/,1972-0-0,"Somerset, England, UK"
Laurent Cantet,https://www.imdb.com//name/nm0134559/,1961-6-15,"Melle, Deux-Sevres, France"
Eric Khoo,https://www.imdb.com//name/nm0451799/,1965-3-27,Singapore
Raoul Ruiz,https://www.imdb.com//name/nm0749914/,1941-7-25,"Puerto Montt, Chile"
Mohamed Diab,https://www.imdb.com//name/nm2559996/,1978-12-7,"Ismailia, Egypt"
Kevin Costner,https://www.imdb.com//name/nm0000126/,1955-1-18,"Lynwood, California, USA"
Ang Lee,https://www.imdb.com//name/nm0000487/,1954-10-23,"Pingtung, Taiwan"
Kim Ki-duk,https://www.imdb.com//name/nm1104118/,1960-12-20,"Bonghwa, South Korea"
Pedro Almodóvar,https://www.imdb.com//name/nm0000264/,1949-9-25,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Paul Greengrass,https://www.imdb.com//name/nm0339030/,1955-8-13,"Cheam, Surrey, England, UK"
Céline Sciamma,https://www.imdb.com//name/nm1780037/,1980-11-12,"Pontoise, Val-d'Oise, France"
Joseph Kahn,https://www.imdb.com//name/nm0994538/,1972-10-12,1972
Kenneth Lonergan,https://www.imdb.com//name/nm0518836/,1962-10-16,"New York City, New York, USA"
Jacques Audiard,https://www.imdb.com//name/nm0002191/,1952-4-30,"Paris, France"
Hayao Miyazaki,https://www.imdb.com//name/nm0594503/,1941-1-5,"Tokyo, Japan"
Bong Joon-ho,https://www.imdb.com//name/nm0094435/,1969-9-14,"Daegu, South Korea"
Conrad Vernon,https://www.imdb.com//name/nm0970447/,1968-7-11,"Lubbock, Texas, USA"
Miranda July,https://www.imdb.com//name/nm0432380/,1974-2-15,"Barre, Vermont, USA"
Andrea Arnold,https://www.imdb.com//name/nm0036349/,1961-4-5,"Dartford, Kent, England, UK"
Wolfgang Becker,https://www.imdb.com//name/nm0065615/,1954-6-22,"Hemer, North Rhine-Westphalia, Germany"
Peter Weir,https://www.imdb.com//name/nm0001837/,1944-8-21,"Sydney, New South Wales, Australia"
Greg Mottola,https://www.imdb.com//name/nm0609549/,1964-7-11,"Dix Hills, Long Island, New York, USA"
Peter Mullan,https://www.imdb.com//name/nm0611932/,1959-11-2,"Peterhead, Scotland, UK"
